"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"q_5",-0.00427975104654211,-0.012937789394316,-0.012397351667537,-0.0152597608131757,-0.0110962689879819,-0.00954054519363375,-0.00280201347539794,-0.00490058448921605,-0.00133177138084349,-0.00465638554763728,-0.0015842272229079,-0.00540477845387707,0.00328561710478326,-0.00441123650876491,-0.00901878465290373,-0.00182744537696157
"q_6",0.00244015078324798,0.00260603040091612,0.00226185752926042,0.00567735425000758,0.00571099605642548,0.00589344269210657,0.00564089664215992,0.00652046997569468,0.00500152847223723,0.00920311073166051,0.00790880771030228,0.0122988855390363,0.00947257358972375,0.00812406142600936,0.00390854270856369,0.00105770713849426
"q_7",0.0025896216749002,0.00371572609001491,0.000175459482619805,-0.000199543594591137,0.00132120933030171,-0.00237364319000977,-0.00456537636992096,-0.00415013993934501,-0.00548722928366734,-0.00513116353684582,-0.00590864202479745,-0.00901528289938037,-0.00845414087637247,-0.00767229265227282,-0.00369860910054689,0.00703326474504397
"q_8",0.00108697666880273,0.00402059230183753,0.00445561887847694,0.000648661608411345,0.00156409408849784,-0.00174251571644889,-0.00355838991285149,-0.00449799646366152,-0.00397468938874985,0.00307257280112373,0.00503569503030669,0.0110145464916727,0.00642448925568556,0.00313670531249143,0.000940916642244064,0.00313135898777615
"q_9",0.0065296349071774,0.00693344394055438,0.0029165013615434,0.00117611553592694,0.00781574174464271,0.000137140084562888,0.00114721034687537,0.00973380574777208,0.00819003870706535,0.00507210143074414,0.00969835366439358,0.0111713230116689,-0.0022947321159567,0.00144715906828002,-0.0107375313550829,-0.0216724343614986
"q_10",0.00721269324419359,0.00175901880823625,0.00321505475582333,0.00501969864227618,0.00440016453875249,0.00342063139398847,0.000581020089583448,0.00253823225271442,0.00515416668193175,0.0070222421488553,0.00853946641525488,0.00739879630385725,0.00642264912939126,0.00115036171801505,-0.000288761618987449,0.0037355150280264
"q_11",-0.00715092704230147,-0.00940404174139624,-0.00408483301188742,-0.00946145661720386,-0.0161812252341529,-0.00809570966714175,-0.00420716977829452,-0.00114687551625699,-0.00152608332220702,0.00144697488567827,0.00837635649617634,0.0066507045825662,0.00226093650042577,-0.001519083171557,0.000591501885371356,-0.00548991809765008
"q_1",0.00588088575274825,0.0113081517784736,0.0113736534020127,0.0141926017485171,0.0127631523751686,0.0128855463069986,0.0117925496185416,0.0168588642416598,0.0136457511768506,0.0177376443919087,0.0113828719908614,0.00792850599518927,0.000794810793738846,0.00363322245402987,0.00866125851997915,0.0201794958273594
"q_2",0.00211902883102216,0.000380391280115465,-0.000323533632902701,-0.000853594219317887,-0.00151430662415677,-0.00109879691919615,-0.00152703193821359,-0.00229854007823662,-0.00137163983489538,-0.00142294299754652,0.000378939299995713,0.000115478583327408,0.000677089232950578,0.00233102347932905,0.00513663859805006,0.000950778530684981
"q_3",-0.00017330751556745,-0.00205511390659223,-0.00182176707527173,-0.00144786749954264,-0.00170823281597204,-0.00128757552066752,-0.000696872847174821,-0.00032687861763376,-0.000175522897089382,0.00130212667053509,0.000141347615377274,-0.000406955709443736,0.000763219770403048,0.000944703095223779,-0.0010980885988741,0.00294640788556558
